id,i_no,material_code,name,unit,i_qty,i_date,post_date,stor_loct,desc,bulan,no_unit,nama_unit,kelompok_unit,biaya_bbm
1,2024094755,61000043,MINYAK SOLAR,LTR,28,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-quik 03,2024-09-30,QT 03,Quick Tractor 03,Quick Tractor,316336.1279779031
2,2024094754,61000043,MINYAK SOLAR,LTR,29,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-quik 02,2024-09-30,QT 02,Quick Tractor 02,Quick Tractor,327633.8468342568
3,2024094753,61000043,MINYAK SOLAR,LTR,66,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM -BIN 03 KB 8340 VB Cant,2024-09-30,BIN 03,BIN System 03,BIN System,745649.444519343
4,2024094750,61000043,MINYAK SOLAR,LTR,77,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 18 Tugang,2024-09-30,Exca 18,Excavator Mini 18,Excavator Mini,869924.3519392335
5,2024094736,61000043,MINYAK SOLAR,LTR,100,2024-09-30,2024-09-30,CPO RM S/L,U/BBM-WHEEL LOADER-01 PKS CAT,2024-09-30,WL 01,Wheel Loader 01,Wheel Loader,1129771.8856353683
6,2024094735,61000043,MINYAK SOLAR,LTR,65,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Mobil Ambulance KB 8420,2024-09-30,KB 8420 VB,Mobil KB 8420 VB,Mobil,734351.7256629893
7,2024094734,61000043,MINYAK SOLAR,LTR,70,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Mobil Hilux KB 8476 VB,2024-09-30,KB 8476 VB,Mobil KB 8476 VB,Mobil,790840.3199447577
8,2024094732,61000043,MINYAK SOLAR,LTR,54,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Genset 04 25 KVA ,2024-09-30,Genset 04,Genset 25 KVA Mess Melamor,Genset,610076.8182430988
9,2024094731,61000043,MINYAK SOLAR,LTR,70,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM- GENSET 220 KVA KANTOR ,2024-09-30,Genset 29,Genset 220 KVA Tugang,Genset,790840.3199447577
10,2024094729,61000043,MINYAK SOLAR,LTR,104,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM GENSET 19 150 KVA ,2024-09-30,Genset 19,Genset 150 KVA Tugang,Genset,1174962.761060783
11,2024094728,61000043,MINYAK SOLAR,LTR,240,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Genset 26 35 KVA,2024-09-30,Genset 26,Genset â€¦.. KVA ETG Div 3,Genset,2711452.5255248835
12,2024094726,61000043,MINYAK SOLAR,LTR,72,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Mobil Fortuner KB 1923,2024-09-30,KB 1923 VB,Mobil KB 1923 VB,Mobil,813435.7576574651
13,2024094725,61000043,MINYAK SOLAR,LTR,55,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Fortuner kb 1582 VA,2024-09-30,KB 1582 VA,Mobil KB 1582 VA,Mobil,621374.5370994525
14,2024094724,61000043,MINYAK SOLAR,LTR,192,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM-Bulldozer 01 ,2024-09-30,BD 01,Buldozer 01,Bulldozer,2169162.020419907
15,2024094723,61000043,MINYAK SOLAR,LTR,88,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Motor Greader 03 CATER,2024-09-30,MG 03,Motor Greader 03,Motor Greader,994199.259359124
16,2024094722,61000043,MINYAK SOLAR,LTR,42,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 22 305 5E2,2024-09-30,Exca 22,Excavator Mini 22,Excavator Mini,474504.1919668546
17,2024094721,61000043,MINYAK SOLAR,LTR,76,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM -DT 28 KB 8317 VB Mitsu,2024-09-30,DT 28,Dump Truck 28,Dump Truck,858626.6330828798
18,2024094720,61000043,MINYAK SOLAR,LTR,97,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 17 Tugang,2024-09-30,Exca 17,Excavator 17,Excavator,1095878.7290663072
19,2024094719,61000043,MINYAK SOLAR,LTR,200,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Excavator  04 CATERPIL,2024-09-30,Exca 04,Excavator 04,Excavator,2259543.7712707366
20,2024094718,61000043,MINYAK SOLAR,LTR,100,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Compactor  02 CATERPIL,2024-09-30,CP 02,Compactor 02,Compactor,1129771.8856353683
21,2024094717,61000043,MINYAK SOLAR,LTR,200,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Excavator 05 CATERPILL,2024-09-30,Exca 05,Excavator 05,Excavator,2259543.7712707366
22,2024094716,61000043,MINYAK SOLAR,LTR,150,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Motor Greader 04 CATER,2024-09-30,MG 04,Motor Greader 04,Motor Greader,1694657.8284530523
23,2024094715,61000043,MINYAK SOLAR,LTR,170,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Motor Greader 06 CATER,2024-09-30,MG 06,Motor Greader 06,Motor Greader,1920612.205580126
24,2024094714,61000043,MINYAK SOLAR,LTR,55,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Tractor 07 Melamor III,2024-09-30,WT 07,Wheel Tractor 07,Wheel Tractor,621374.5370994525
25,2024094713,61000043,MINYAK SOLAR,LTR,60,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Tractor 21 Melamor III,2024-09-30,WT 21,Wheel Tractor 21,Wheel Tractor,677863.1313812209
26,2024094712,61000043,MINYAK SOLAR,LTR,62,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- GENSET 21 MELAMOR III,2024-09-30,Genset 21,Genset 10 KVA Div 2b Timur,Genset,700458.5690939283
27,2024094711,61000043,MINYAK SOLAR,LTR,84,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM -DT 26 KB 209 XY Mitsub,2024-09-30,DT 26,Dump Truck 26,Dump Truck,949008.3839337092
28,2024094710,61000043,MINYAK SOLAR,LTR,70,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Backhoe Loader 06 JCB,2024-09-30,BL 06,Backho Loader 06,Backho Loader,790840.3199447577
29,2024094709,61000043,MINYAK SOLAR,LTR,116,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- KIOTI 25 Tugang I,2024-09-30,WT 25,Wheel Tractor 25,Wheel Tractor,1310535.3873370271
30,2024094708,61000043,MINYAK SOLAR,LTR,77,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- DT 13 KB 8445 VA HINO ,2024-09-30,DT 13,Dump Truck 13,Dump Truck,869924.3519392335
31,2024094707,61000043,MINYAK SOLAR,LTR,20,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM- GST 23 3KVA DIV I TUGA,2024-09-30,Genset 23,Genset 3 KVA Barak F10 Div 1 Barat,Genset,225954.37712707365
32,2024094706,61000043,MINYAK SOLAR,LTR,180,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Excavator 06 CATERPILL,2024-09-30,Exca 06,Excavator 06,Excavator,2033589.3941436624
33,2024094705,61000043,MINYAK SOLAR,LTR,165,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 11 CAT 313,2024-09-30,Exca 11 PT. PAM,Excavator Mini 11 PT. PAM,Excavator Mini,1864123.6112983576
34,2024094704,61000043,MINYAK SOLAR,LTR,165,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 15 305 5E2,2024-09-30,Exca 15,Excavator Mini 15,Excavator Mini,1864123.6112983576
35,2024094703,61000043,MINYAK SOLAR,LTR,55,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Mobil KB 8892 VA,2024-09-30,KB 8892 VA,Mobil KB 8892 VA,Mobil,621374.5370994525
36,2024094229,61000043,MINYAK SOLAR,LTR,30,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Mobil Hilux G-30,2024-09-30,KB 8477 VB,Mobil KB 8477 VB,Mobil,338931.56569061044
37,2024094228,61000043,MINYAK SOLAR,LTR,70,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM - BIS KB 7015 V SEKOLAH,2024-09-30,KB 7015 V,Mobil KB 7015 V,Mobil,790840.3199447577
38,2024094227,61000043,MINYAK SOLAR,LTR,55,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Mobil  KB 8418 VA Hilu,2024-09-30,KB 8418 VA,Mobil KB 8418 VA,Mobil,621374.5370994525
39,2024094226,61000043,MINYAK SOLAR,LTR,44,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 31 KB 8316 VB Mitsu,2024-09-30,DT 31,Dump Truck 31,Dump Truck,497099.629679562
40,2024094225,61000043,MINYAK SOLAR,LTR,58,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 30  KB 8314 VB Mits,2024-09-30,DT 30,Dump Truck 30,Dump Truck,655267.6936685136
41,2024094224,61000043,MINYAK SOLAR,LTR,79,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- DT 16 KB 8663 VA HINO,2024-09-30,DT 16,Dump Truck 16,Dump Truck,892519.7896519409
42,2024094223,61000043,MINYAK SOLAR,LTR,80,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- DT 20 KB 8048 VB Cante,2024-09-30,DT 20,Dump Truck 20,Dump Truck,903817.5085082946
43,2024094222,61000043,MINYAK SOLAR,LTR,35,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 43 KB 8415 VB Mitsu,2024-09-30,DT 43,Dump Truck 43,Dump Truck,395420.15997237887
44,2024094221,61000043,MINYAK SOLAR,LTR,200,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM-Bulldozer 04,2024-09-30,BD 04,Buldozer 04,Bulldozer,2259543.7712707366
45,2024094220,61000043,MINYAK SOLAR,LTR,60,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Compactor 04 SAKAI ,2024-09-30,CP 04,Compactor 04,Compactor,677863.1313812209
46,2024094219,61000043,MINYAK SOLAR,LTR,120,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- EXCAVATOR 24 CAT 323,2024-09-30,Exca 24,Excavator 24,Excavator,1355726.2627624418
