id,no_unit,nama_unit,aset,cap_on,aset_desc,acq_val,bulan,depre
1,WT 03,Wheel Tractor 03,150098,2008-05-30,TRACTOR JOHN DEERE TYPE 5715 4 WD (J04045T420575),309230625,2024-11-30,-309230625.0
2,BD 01,Buldozer 01,150104,2008-08-25,KOMATSU BULDOZER D68 ESS-12 (J10856),1487590454,2024-11-30,-1487590454.0
3,KB 9716 V,Mobil KB 9716 V,150110,2008-10-17,MITSUBISHI STRADA TRITON 2.8L GLX (4M40UAB2700),261000000,2024-11-30,-261000000.0
4,DAMKAR 01,Damkar 01,150111,2008-10-17,MITSUBISHI FE 74 (125PS) 6 Ban,194000000,2024-11-30,-194000000.0
5,WT 04,Wheel Tractor 04,150112,2008-10-17,JOHN DEERE JD 5715 4 WD (PE4045T722198),232638615,2024-11-30,-232638615.0
6,0,0,150113,2009-01-02,Selisih Kurs Pembelian Alat Berat,94120676,2024-11-30,-94120676.0
7,0,0,150114,2009-01-02,Selisih Kurs Pembelian Alat Berat,8276400,2024-11-30,-8276400.0
8,0,0,150118,2009-02-19,Trailer non Tipping (Body Kayu),23000000,2024-11-30,-23000000.0
9,0,0,150119,2009-03-25,KOMATSU HIDRAULIC EXAVATOR PC 200-7 (C77934),940000000,2024-11-30,-940000000.0
10,0,0,150120,2009-03-25,PPN Masukan,94000000,2024-11-30,-94000000.0
11,WT 06,Wheel Tractor 06,150122,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-11-30,-297395178.0
12,WT 07,Wheel Tractor 07,150123,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-11-30,-297395178.0
13,WT 09,Wheel Tractor 09,150124,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-11-30,-297395178.0
14,WT 10,Wheel Tractor 10,150125,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-11-30,-297395178.0
15,WT 11,Wheel Tractor 11,150126,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-11-30,-297395178.0
16,0,0,150127,2009-04-14,PPN Masukan,177333732,2024-11-30,-177333732.0
17,0,0,150129,2009-05-19,Mitsubishi Strada Triton 2.8 L GLX (4M40UAB3628),289650000,2024-11-30,-289650000.0
18,CP 01,0,150130,2009-05-19,Vibrating Roller Sakai SV512D-H,747124620,2024-11-30,-747124620.0
19,MG 02,0,150131,2009-05-19,Komatsu Motor Grader (GD. 02),1543743300,2024-11-30,-1543743300.0
20,0,0,150132,2009-09-15,Howard Rotaslasher HS 24/150,32091400,2024-11-30,-32091400.0
21,0,0,150133,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-11-30,-25000000.0
22,0,0,150134,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-11-30,-25000000.0
23,0,0,150135,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-11-30,-25000000.0
24,0,0,150138,2011-03-16,Tipping Trailer Besi,38293841,2024-11-30,-38293841.0
25,0,0,150139,2011-03-16,Tipping Trailer Besi,38293841,2024-11-30,-38293841.0
26,0,0,150140,2011-03-16,Tipping Trailer Besi,38293841,2024-11-30,-38293841.0
27,WT 12,Wheel Tractor 12,150141,2011-07-18,Tractor JD 5715 PE4045T821579,298449626,2024-11-30,-298449626.0
28,WT 13,Wheel Tractor 13,150142,2011-07-18,Tractor JD 5715 PE4045T821574,299831125,2024-11-30,-299831125.0
29,WT 14,Wheel Tractor 14,150143,2011-07-18,Tractor JD 5715 PE4045T821589,298449626,2024-11-30,-298449626.0
30,WT 15,Wheel Tractor 15,150144,2011-07-18,Tractor JD 5715 PE4045T819667,299831125,2024-11-30,-299831125.0
31,0,0,150145,2011-10-19,Tangki Trailer Semprot,34790355,2024-11-30,-34790355.0
32,0,0,150146,2011-12-30,Trackling Exc 01,134600210,2024-11-30,-134600210.0
33,0,0,150148,2012-02-23,Toyota Hilux Type G (2KDS005619),348260573,2024-11-30,-348260573.0
34,0,0,150149,2012-02-23,Toyota Hilux Type E (2KD8861991),323496082,2024-11-30,-323496082.0
35,0,0,150150,2012-06-12,Motor Kawasaki KLX  1505,24600000,2024-11-30,-24600000.0
36,WT 16,Wheel Tractor 16,150151,2012-06-25,Tractor JD 5715 (PE4045T861684),347209500,2024-11-30,-347209500.0
37,0,0,150152,2012-07-10,Tiping Trailer,39558333,2024-11-30,-39558333.0
38,0,0,150153,2012-07-10,Tiping Trailer,39990477,2024-11-30,-39990477.0
39,0,0,150154,2012-07-10,Tiping Trailer,39990477,2024-11-30,-39990477.0
40,0,0,150155,2012-07-10,Tiping Trailer,39990477,2024-11-30,-39990477.0
41,BD 02,Buldozer Mini 02,150156,2012-07-31,Mini Bulldozer Komatsu,1064777982,2024-11-30,-1064777982.0
42,WT 17,Wheel Tractor 17,150157,2012-08-29,Tractor JD 5715 E/N: PE4045T868501,340656738,2024-11-30,-340656738.0
43,WT 18,Wheel Tractor 18,150158,2012-08-29,Tractor JD 5715 E/N: PE4045T859394,340656738,2024-11-30,-340656738.0
44,KB 7015 V,Mobil KB 7015 V,150159,2013-01-09,Isuzu Elf Microbus NKR55 16 Seat,256349545,2024-11-30,-256349545.0
45,BD 03,Buldozer Mini 03,150160,2013-01-18,Komatsu Bulldozer D31E-20,1059051043,2024-11-30,-1059051043.0
46,0,0,150161,2013-03-08,Scissor Lift Trailer Kapasitas 2 Ton Hydraulic,67060052,2024-11-30,-67060052.0
47,0,0,150162,2013-04-01,Tipping Trailer Kapasitas 5 Ton,40400000,2024-11-30,-40400000.0
48,0,0,150163,2013-04-01,Tipping Trailer Kapasitas 5 Ton,39822946,2024-11-30,-39822946.0
49,0,0,150164,2013-04-01,Tipping Trailer Kapasitas 5 Ton,39822946,2024-11-30,-39822946.0
50,0,0,150165,2013-04-24,Toyota Hilux Double Cabin G M/T Diesel-KB 1132 XX,350471492,2024-11-30,-350471492.0
51,0,0,150166,2013-04-24,Toyota Hilux Double Cabin G M/T Diesel-KB 1135 XX,350471492,2024-11-30,-350471492.0
