id,tanggal,bulan,periode,aktivitas,jenis_pekerjaan,jenis_pupuk,lokasi_blok,tt,status,estate,divisi,inti_plasma,hasil,sat,jumlah_tk,ket
1,2024-01-03,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F31,2022,TBM,Tugang,2,Inti,550.0,Kg,8.0,
2,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F23,2022,TBM,Tugang,2,Plasma,180.25,Kg,3.0,
3,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F31,2022,TBM,Tugang,2,Inti,529.0,Kg,6.0,
4,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F33,2022,TBM,Tugang,2,Plasma,50.0,Kg,1.0,
5,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F24,2022,TBM,Tugang,2,Plasma,28.0,Kg,1.0,
6,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F34,2022,TBM,Tugang,2,Plasma,50.0,Kg,1.0,
7,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F24,2022,TBM,Tugang,2,Plasma,19.2,Kg,1.0,
8,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F24,2022,TBM,Tugang,2,Plasma,52.8,Kg,1.0,
9,2024-01-04,2024-01-01,2024-01-01,Aplikasi Pupuk NPK 15,Tugang-Aplikasi Pupuk NPK 15_TBM,NPK 15,F35,2022,TBM,Tugang,2,Plasma,300.0,Kg,4.0,
10,2024-01-08,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I13,2021,TBM,Mulau,2,Inti,2058.75,Kg,4.0,
11,2024-01-08,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I11,2021,TBM,Mulau,2,Inti,82.75,Kg,3.0,
12,2024-01-08,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I10,2021,TBM,Mulau,2,Inti,29.25,Kg,3.0,
13,2024-01-08,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I09,2021,TBM,Mulau,2,Inti,288.0,Kg,3.0,
14,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TM,Rock Phospate,I13,2020,TM,Mulau,2,Inti,696.75,Kg,6.0,
15,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I13,2022,TBM,Mulau,2,Inti,858.5,Kg,6.0,
16,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TM,Rock Phospate,I08,2020,TM,Mulau,2,Inti,57.0,Kg,6.0,
17,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I08,2021,TBM,Mulau,2,Inti,180.0,Kg,6.0,
18,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TM,Rock Phospate,I05,2020,TM,Mulau,2,Plasma,84.0,Kg,6.0,
19,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I05,2021,TBM,Mulau,2,Plasma,87.0,Kg,6.0,
20,2024-01-09,2024-01-01,2024-01-01,Aplikasi Pupuk Rock Phospate,Mulau-Aplikasi Pupuk Rock Phospate_TBM,Rock Phospate,I03,2022,TBM,Mulau,2,Inti,58.0,Kg,3.0,
