id,tgl_rakit,tgl_pasang,bulan,tahun,no_po,ukuran,jumlah,satuan,lokasi,tahun_tanam,estate,divisi,status,status2,keterangan,periode,ukuran2,bln_name,x,y
1,2025-03-03,2025-03-03,March,2025,,Diameter 3 X 6 Mtr,1,Unit,L02,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,3 X 6,Mar,111.085663,0.499303
2,2024-02-12,2024-02-12,February,2024,,Diameter 1 X 6 Mtr,1,Unit,F30,2021.0,Tugang,1,Inti,Terpasang,Pembelian Tahap 2,2024-02-29,1 X 6,Feb,111.17206,0.48227
3,2024-06-18,2024-06-18,June,2024,,Diameter 1 X 6 Mtr,1,Unit,F30,2021.0,Tugang,1,Inti,Terpasang,Pembelian Tahap 2,2024-06-30,1 X 6,Jun,111.17058,0.48029
4,2024-03-19,2024-03-19,March,2024,,Diameter 1 X 6 Mtr,1,Unit,F31,2021.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 2,2024-03-31,1 X 6,Mar,111.16153,0.48756
5,2024-07-03,2024-07-03,July,2024,,Diameter 1 X 6 Mtr,1,Unit,F31,2022.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 2,2024-07-31,1 X 6,Jul,111.16349,0.48817
6,2024-07-03,2024-07-03,July,2024,,Diameter 1 X 6 Mtr,1,Unit,F31,2024.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 2,2024-07-31,1 X 6,Jul,111.16508,0.4872
7,2024-07-26,2024-07-26,July,2024,,Diameter 1 X 6 Mtr,1,Unit,F31,2020.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 2,2024-08-31,1 X 6,Jul,111.16238,0.48782
8,2023-08-11,2023-08-11,August,2023,,Diameter 1 X 6 Mtr,1,Unit,F32,2010.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 1,2023-08-31,1 X 6,Aug,111.15399,0.48724
9,2023-08-11,2023-08-11,August,2023,,Diameter 1 X 6 Mtr,1,Unit,F32,2010.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 1,2023-08-31,1 X 6,Aug,111.15952,0.48626
10,2024-02-14,2024-02-14,February,2024,,Diameter 1 X 6 Mtr,1,Unit,F32,2022.0,Tugang,2,Inti,Terpasang,Pembelian Tahap 2,2024-02-29,1 X 6,Feb,111.15726,0.48593
11,2023-08-31,2023-08-31,August,2023,,Diameter 1 X 6 Mtr,1,Unit,F33,2009.0,Tugang,2,Plasma,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Aug,111.15039,0.48718
12,2023-08-31,2023-08-31,August,2023,,Diameter 1 X 6 Mtr,1,Unit,F33,2009.0,Tugang,2,Plasma,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Aug,111.15358,0.4894
13,2023-09-30,2023-09-30,September,2023,,Diameter 1 X 6 Mtr,1,Unit,F34,2009.0,Tugang,2,Plasma,Terpasang,Pembelian Tahap 1,2023-10-31,1 X 6,Sep,111.14726,0.48626
14,2023-09-15,2023-09-15,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G01,2010.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.1791,0.49544
15,2024-04-04,2024-04-04,April,2024,,Diameter 1 X 6 Mtr,1,Unit,G01,2021.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-04-30,1 X 6,Apr,111.17861,0.49404
16,2024-07-04,2024-07-04,July,2024,,Diameter 1 X 6 Mtr,1,Unit,G01,2020.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-07-31,1 X 6,Jul,111.17896,0.49474
17,2024-04-04,2024-04-04,April,2024,,Diameter 1 X 6 Mtr,1,Unit,G02,2021.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-04-30,1 X 6,Apr,111.17659,0.49345
18,2024-04-03,2024-04-03,April,2024,,Diameter 1 X 6 Mtr,1,Unit,G02,2021.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-04-30,1 X 6,Apr,111.17531,0.50042
19,2023-09-16,2023-09-16,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G03,2009.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.16991,0.49633
20,2024-01-24,2024-01-24,January,2024,,Diameter 1 X 6 Mtr,1,Unit,G03,2022.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-02-29,1 X 6,Jan,111.16832,0.49703
21,2024-03-01,2024-03-01,March,2024,,Diameter 1 X 6 Mtr,1,Unit,G03,2022.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-03-31,1 X 6,Mar,111.1723,0.49978
22,2024-02-21,2024-02-21,February,2024,,Diameter 1 X 6 Mtr,1,Unit,G03,2021.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-03-31,1 X 6,Feb,111.16839,0.49718
23,2024-02-20,2024-02-20,February,2024,,Diameter 1 X 6 Mtr,1,Unit,G05,2022.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-02-29,1 X 6,Feb,111.17263,0.50403
24,2024-03-04,2024-03-04,March,2024,,Diameter 1 X 6 Mtr,1,Unit,G09,2022.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-03-31,1 X 6,Mar,111.16346,0.50522
25,2024-07-24,2024-07-24,July,2024,,Diameter 1 X 6 Mtr,1,Unit,G09,2021.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 2,2024-08-31,1 X 6,Jul,111.16326,0.50553
26,2023-09-07,2023-09-07,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G11,2009.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.17146,0.51502
27,2023-09-07,2023-09-07,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G11,2009.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.16944,0.51756
28,2023-09-06,2023-09-06,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G12,2010.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.16006,0.51248
29,2023-09-15,2023-09-15,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G12,2010.0,Tugang,3,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.15857,0.50847
30,2023-09-05,2023-09-04,September,2023,,Diameter 1 X 6 Mtr,1,Unit,G13,2010.0,Tugang,4,Inti,Terpasang,Pembelian Tahap 1,2023-09-30,1 X 6,Sep,111.17945,0.5235
31,2024-06-13,2024-06-13,June,2024,,Diameter 1 X 6 Mtr,1,Unit,G13,2021.0,Tugang,4,Inti,Terpasang,Pembelian Tahap 2,2024-06-30,1 X 6,Jun,111.16231,0.51058
32,2024-06-14,2024-06-14,June,2024,,Diameter 1 X 6 Mtr,1,Unit,G13,2021.0,Tugang,4,Inti,Terpasang,Pembelian Tahap 2,2024-06-30,1 X 6,Jun,111.16072,0.5102
33,2024-11-28,2025-01-10,January,2025,,Diameter 1 X 6 Mtr,1,Unit,B26,2021.0,Melamor,3,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-01-31,1 X 6,Jan,111.2762833,0.4808833
34,2024-10-25,2024-12-03,December,2024,,Diameter 0.5 X 6 Mtr,1,Unit,E37,2021.0,Sedadung,6,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-01-31,0.5 X 6,Dec,111.18634,0.5327
35,2024-10-25,2025-02-17,February,2025,,Diameter 1 X 6 Mtr,1,Unit,D22,2009.0,Sedadung,4,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 6,Feb,111.203132,0.459491
36,2024-10-22,2025-02-26,February,2025,,Diameter 0.5 X 6 Mtr,1,Unit,E01,2008.0,Sedadung,5,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,0.5 X 6,Feb,111.210007,0.468593
37,2024-10-22,2025-02-26,February,2025,,Diameter 0.5 X 6 Mtr,1,Unit,E01,2008.0,Sedadung,5,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,0.5 X 6,Feb,111.210667,0.46683
38,2024-10-22,2025-03-03,March,2025,,Diameter 0.5 X 6 Mtr,1,Unit,C09,2022.0,Sedadung,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,0.5 X 6,Mar,111.217387,0.49004
39,2024-10-22,2025-03-04,March,2025,,Diameter 0.5 X 6 Mtr,1,Unit,C02,2008.0,Sedadung,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,0.5 X 6,Mar,111.220802,0.463786
40,2024-10-22,2025-03-04,March,2024,,Diameter 1 X 6 Mtr,1,Unit,C23,2022.0,Sedadung,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 6,Mar,111.226786,0.502228
41,2024-12-07,2024-12-07,December,2024,,Diameter 1 X 5 Mtr,1,Unit,K08,,Ngaring,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.075311,0.532477
42,2024-12-11,2024-12-11,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L19,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.079482,0.513423
43,2024-12-12,2024-12-12,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L13,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.077737,0.51213
