id,blok,estate,divisi,status_lahan,tahun_tanam,jenis_bibit,status_tanaman,blok_tt,jumlah_pokok,luas,sph
1,A01,Melamor,2,Inti,2008,Lonsum,TM,A012008,3674,27.89,131.73180351380424
2,A01,Melamor,2,Inti,2020,Lonsum,TM,A012020,602,4.22,142.65402843601896
3,A01,Melamor,2,Inti,2022,Lonsum,TBM,A012022,401,2.72,147.42647058823528
4,A02,Melamor,2,Inti,2009,Lonsum,TM,A022009,2906,21.76,133.54779411764704
5,A02,Melamor,2,Inti,2020,Socfindo,TM,A022020,136,0.45,302.22222222222223
6,A02,Melamor,2,Inti,2021,Socfindo,TBM,A022021,151,1.24,121.7741935483871
7,A02,Melamor,2,Inti,2022,Lonsum,TBM,A022022,780,5.3,147.16981132075472
8,A02,Melamor,2,Inti,2023,Lonsum,TBM,A022023,64,0.48,133.33333333333334
9,A03,Melamor,2,Inti,2022,Lonsum,TBM,A032022,214,1.69,126.62721893491124
10,A04,Melamor,2,Inti,2009,Damimas,TM,A042009,1234,9.15,134.8633879781421
11,A04,Melamor,2,Inti,2020,Socfindo,TM,A042020,1308,9.73,134.4295991778006
12,A04,Melamor,2,Inti,2021,Socfindo,TBM,A042021,155,1.11,139.63963963963965
13,A05,Melamor,1,Plasma,2010,Lonsum,TM,A052010,787,5.82,135.22336769759448
14,A05,Melamor,1,Plasma,2020,Socfindo,TM,A052020,424,3.15,134.6031746031746
15,A05,Melamor,1,Plasma,2021,Socfindo,TBM,A052021,490,3.37,145.40059347181008
16,A07,Melamor,2,Inti,2008,Damimas,TM,A072008,1748,14.71,118.83072739632902
17,A07,Melamor,2,Inti,2020,Socfindo,TM,A072020,10,0.04,250.0
18,A07,Melamor,2,Inti,2022,Lonsum,TBM,A072022,305,2.18,139.90825688073394
19,A08,Melamor,2,Inti,2008,Socfindo,TM,A082008,1615,13.24,121.97885196374622
20,A08,Melamor,2,Inti,2022,Lonsum,TBM,A082022,191,1.37,139.4160583941606
21,A09,Melamor,2,Inti,2008,Socfindo,TM,A092008,2041,15.29,133.48593852190976
22,A09,Melamor,2,Inti,2022,Lonsum,TBM,A092022,92,0.64,143.75
23,A10,Melamor,2,Inti,2008,Socfindo,TM,A102008,1734,14.43,120.16632016632016
24,A10,Melamor,2,Inti,2020,Lonsum,TM,A102020,202,1.44,140.27777777777777
25,A10,Melamor,2,Inti,2022,Lonsum,TBM,A102022,140,1.15,121.73913043478262
26,A11,Melamor,2,Inti,2008,Lonsum,TM,A112008,2851,20.45,139.41320293398533
27,A11,Melamor,2,Inti,2020,Socfindo,TM,A112020,158,0.77,205.1948051948052
28,A11,Melamor,2,Inti,2022,Lonsum,TBM,A112022,227,1.73,131.21387283236993
29,A12,Melamor,2,Inti,2008,Lonsum,TM,A122008,4327,30.84,140.3047989623865
30,A12,Melamor,2,Inti,2020,Socfindo,TM,A122020,422,2.5,168.8
31,A12,Melamor,2,Inti,2021,Lonsum,TBM,A122021,20,0.16,125.0
32,A12,Melamor,2,Inti,2022,Sriwijaya,TBM,A122022,160,0.96,166.66666666666666
33,A13,Melamor,2,Inti,2009,Lonsum,TM,A132009,3096,22.07,140.28092433167194
34,A13,Melamor,2,Inti,2020,Socfindo,TM,A132020,387,2.51,154.1832669322709
35,A13,Melamor,2,Inti,2022,Lonsum,TBM,A132022,646,4.12,156.79611650485435
36,A14,Melamor,2,Inti,2009,Damimas,TM,A142009,2390,17.189999999999998,139.0343222803956
37,A14,Melamor,2,Inti,2020,Socfindo,TM,A142020,321,2.21,145.24886877828055
38,A14,Melamor,2,Inti,2022,Lonsum,TBM,A142022,490,3.16,155.0632911392405
39,A15,Melamor,2,Inti,2009,Lonsum,TM,A152009,3217,22.68,141.84303350970018
40,A15,Melamor,2,Inti,2020,Socfindo,TM,A152020,44,0.45,97.77777777777776
41,A15,Melamor,2,Inti,2021,Socfindo,TBM,A152021,501,3.74,133.95721925133688
42,A16,Melamor,1,Inti,2020,Socfindo,TM,A162020,719,5.98,120.23411371237458
43,A16,Melamor,1,Inti,2021,Lonsum,TBM,A162021,751,5.386864999999999,139.41318373488107
44,A16,Melamor,1,Inti,2022,Lonsum,TBM,A162022,904,6.140000000000001,147.23127035830618
45,A16,Melamor,1,Inti,2023,Lonsum,TBM,A162023,274,1.74,157.4712643678161
46,A17,Melamor,1,Plasma,2011,Damimas,TM,A172011,3419,26.38706293706294,129.57107079915724
47,A17,Melamor,1,Plasma,2020,Socfindo,TM,A172020,1119,7.8529370629370625,142.49445666402488
48,A17,Melamor,1,Plasma,2021,Socfindo,TBM,A172021,10,0.07,142.85714285714283
49,A18,Melamor,2,Inti,2010,Damimas,TM,A182010,776,5.629999999999999,137.83303730017764
50,A18,Melamor,2,Inti,2020,Lonsum,TM,A182020,230,1.6800000000000002,136.9047619047619
51,A18,Melamor,2,Inti,2022,Lonsum,TBM,A182022,539,3.67,146.866485013624
52,A19,Melamor,2,Inti,2009,Socfindo,TM,A192009,2655,21.28,124.76503759398496
53,A19,Melamor,2,Inti,2022,Lonsum,TBM,A192022,603,3.88,155.41237113402062
54,A20,Melamor,2,Inti,2010,Socfindo,TM,A202010,1359,11.066713286713286,122.8006875023696
55,A20,Melamor,2,Inti,2020,Socfindo,TM,A202020,784,5.513286713286713,142.20192795535263
56,A20,Melamor,2,Inti,2022,Lonsum,TBM,A202022,81,0.54,150.0
57,A21,Melamor,2,Plasma,2009,Damimas,TM,A212009,2254,17.6,128.0681818181818
58,A21,Melamor,2,Plasma,2020,Lonsum,TM,A212020,325,2.27,143.1718061674009
59,A21,Melamor,2,Plasma,2022,Lonsum,TBM,A212022,127,0.91,139.56043956043956
60,A22,Melamor,2,Plasma,2010,Lonsum,TM,A222010,2788,21.610000000000003,129.01434521055066
61,A22,Melamor,2,Plasma,2020,Socfindo,TM,A222020,124,0.8999999999999999,137.7777777777778
62,A22,Melamor,2,Plasma,2021,Socfindo,TBM,A222021,449,3.28,136.89024390243904
63,A22,Melamor,2,Plasma,2022,Lonsum,TBM,A222022,448,2.8600000000000003,156.64335664335664
64,A23,Melamor,2,Inti,2010,Socfindo,TM,A232010,933,6.8,137.2058823529412
65,A23,Melamor,2,Inti,2021,Socfindo,TBM,A232021,3137,22.97,136.56943839791032
66,A23,Melamor,2,Inti,2022,Lonsum,TBM,A232022,1497,9.83,152.28891149542218
67,A23,Melamor,2,Inti,2023,Sriwijaya,TBM,A232023,400,2.7,148.14814814814815
68,A24,Melamor,1,Inti,2021,Socfindo,TBM,A242021,1216,8.56,142.05607476635512
69,A24,Melamor,1,Inti,2022,Lonsum,TBM,A242022,307,2.22,138.2882882882883
70,A25,Melamor,1,Inti,2011,Socfindo,TM,A252011,0,0.0,0.0
71,A25,Melamor,1,Inti,2020,Lonsum,TM,A252020,2729,19.1993006993007,142.1405936987798
72,A25,Melamor,1,Inti,2021,Socfindo,TBM,A252021,247,0.8300000000000001,297.5903614457831
73,A25,Melamor,1,Inti,2022,Lonsum,TBM,A252022,22,0.17,129.41176470588235
74,A26,Melamor,1,Inti,2011,Damimas,TM,A262011,1483,9.330000000000002,158.94962486602356
75,A26,Melamor,1,Inti,2020,Socfindo,TM,A262020,1810,13.55,133.57933579335793
76,A26,Melamor,1,Inti,2021,Lonsum,TBM,A262021,605,4.27,141.68618266978925
77,A26,Melamor,1,Inti,2022,Lonsum,TBM,A262022,777,4.81,161.53846153846155
78,A27,Melamor,1,Inti,2011,Damimas,TM,A272011,1810,14.15,127.91519434628977
79,A27,Melamor,1,Inti,2020,Socfindo,TM,A272020,2623,16.72,156.87799043062202
80,A27,Melamor,1,Inti,2022,Lonsum,TBM,A272022,242,1.64,147.5609756097561
81,A27,Melamor,1,Inti,2023,Lonsum,TBM,A272023,135,0.0,0.0
82,A28,Melamor,1,Plasma,2011,Damimas,TM,A282011,1509,12.4,121.69354838709678
83,A28,Melamor,1,Plasma,2020,Socfindo,TM,A282020,812,5.76,140.97222222222223
84,A28,Melamor,1,Plasma,2021,Socfindo,TBM,A282021,300,2.12,141.50943396226415
85,A28,Melamor,1,Plasma,2022,Lonsum,TBM,A282022,763,5.77,132.2357019064125
86,A28,Melamor,1,Plasma,2023,Lonsum,TBM,A282023,22,0.0,0.0
87,A29,Melamor,1,Plasma,2012,Damimas,TM,A292012,622,7.93,78.43631778058008
88,A29,Melamor,1,Plasma,2020,Socfindo,TM,A292020,2663,18.75,142.02666666666667
89,A29,Melamor,1,Plasma,2021,Socfindo,TBM,A292021,648,4.176864,155.1403157967317
90,A29,Melamor,1,Plasma,2022,Lonsum,TBM,A292022,416,3.3800000000000003,123.07692307692308
91,A29,Melamor,1,Plasma,2023,Lonsum,TBM,A292023,23,0.0,0.0
92,A30,Melamor,1,Plasma,2011,Damimas,TM,A302011,2285,12.289999999999996,185.9235150528886
93,A30,Melamor,1,Plasma,2020,Socfindo,TM,A302020,3053,25.06000000000001,121.82761372705504
94,A30,Melamor,1,Plasma,2021,Socfindo,TBM,A302021,372,2.3800000000000003,156.30252100840335
95,A30,Melamor,1,Plasma,2023,Lonsum,TBM,A302023,140,0.48,291.6666666666667
96,A30,Melamor,1,Plasma,2024,Topaz,TBM,A302024,123,0.93,132.25806451612902
97,A31,Melamor,1,Plasma,2011,Damimas,TM,A312011,1538,9.66,159.21325051759834
98,A31,Melamor,1,Plasma,2020,Socfindo,TM,A312020,4522,30.74,147.10474951203645
99,A31,Melamor,1,Plasma,2021,Socfindo,TBM,A312021,1239,7.79,159.05006418485237
100,A31,Melamor,1,Plasma,2022,Lonsum,TBM,A312022,1277,8.31,153.67027677496992
101,A31,Melamor,1,Plasma,2023,Lonsum,TBM,A312023,147,0.29,506.89655172413785
102,A32,Melamor,2,Plasma,2010,Lonsum,TM,A322010,3904,30.04,129.9600532623169
103,A32,Melamor,2,Plasma,2020,Lonsum,TM,A322020,2218,16.34,135.7405140758874
104,A32,Melamor,2,Plasma,2021,Lonsum,TBM,A322021,957,7.27,131.63686382393396
105,A32,Melamor,2,Plasma,2022,Lonsum,TBM,A322022,470,2.58,182.17054263565893
106,A32,Melamor,2,Plasma,2024,Topaz,TBM,A322024,237,1.61,147.20496894409936
107,A34,Melamor,1,Inti,2020,Socfindo,TM,A342020,5827,41.23,141.32912927479993
108,A34,Melamor,1,Inti,2021,Socfindo,TBM,A342021,501,3.68,136.1413043478261
109,A34,Melamor,1,Inti,2022,Lonsum,TBM,A342022,1808,12.45,145.22088353413656
110,A34,Melamor,1,Inti,2023,Lonsum,TBM,A342023,14,0.0,0.0
111,A35,Melamor,1,Inti,2011,Damimas,TM,A352011,0,0.0,0.0
112,A35,Melamor,1,Inti,2020,Lonsum,TM,A352020,1135,7.950769230769231,142.7534829721362
113,A35,Melamor,1,Inti,2021,Socfindo,TBM,A352021,94,0.32,293.75
114,A36,Melamor,1,Inti,2011,Damimas,TM,A362011,145,1.5100000000000016,96.02649006622508
115,A36,Melamor,1,Inti,2020,Socfindo,TM,A362020,3455,26.78,129.01418969380137
116,A36,Melamor,1,Inti,2021,Socfindo,TBM,A362021,405,2.92,138.6986301369863
117,A36,Melamor,1,Inti,2022,Lonsum,TBM,A362022,909,6.09,149.26108374384236
118,A36,Melamor,1,Inti,2023,Sriwijaya,TBM,A362023,516,1.9300000000000035,267.3575129533674
119,A37,Melamor,1,Plasma,2012,Damimas,TM,A372012,1715,9.120000000000012,188.04824561403484
120,A37,Melamor,1,Plasma,2020,Socfindo,TM,A372020,6918,52.49,131.7965326728901
121,A37,Melamor,1,Plasma,2021,Lonsum,TBM,A372021,5198,29.68,175.13477088948787
122,A37,Melamor,1,Plasma,2022,Lonsum,TBM,A372022,163,0.8899999999999999,183.1460674157304
