id,tahun,blok,estate,divisi,tahun_tanam,blok_tt,luas,pokok,lsu,unsur_hara
1,2021,A01,Melamor,2,2008,A012008,27.89,3674,2.63,N
2,2022,A01,Melamor,2,2008,A012008,27.89,3674,2.04,N
3,2023,A01,Melamor,2,2008,A012008,27.89,3674,2.02,N
4,2024,A01,Melamor,2,2008,A012008,27.89,3674,2.5,N
5,2021,A01,Melamor,2,2008,A012008,27.89,3674,0.17,P
6,2022,A01,Melamor,2,2008,A012008,27.89,3674,0.14,P
7,2023,A01,Melamor,2,2008,A012008,27.89,3674,0.15,P
8,2024,A01,Melamor,2,2008,A012008,27.89,3674,0.16,P
9,2021,A01,Melamor,2,2008,A012008,27.89,3674,0.98,K
10,2022,A01,Melamor,2,2008,A012008,27.89,3674,0.73,K
11,2023,A01,Melamor,2,2008,A012008,27.89,3674,0.71,K
12,2024,A01,Melamor,2,2008,A012008,27.89,3674,0.97,K
13,2021,A01,Melamor,2,2008,A012008,27.89,3674,0.54,Ca
14,2022,A01,Melamor,2,2008,A012008,27.89,3674,0.61,Ca
15,2023,A01,Melamor,2,2008,A012008,27.89,3674,0.75,Ca
16,2024,A01,Melamor,2,2008,A012008,27.89,3674,0.52,Ca
17,2021,A01,Melamor,2,2008,A012008,27.89,3674,0.28,Mg
18,2022,A01,Melamor,2,2008,A012008,27.89,3674,0.35,Mg
19,2023,A01,Melamor,2,2008,A012008,27.89,3674,0.35,Mg
20,2024,A01,Melamor,2,2008,A012008,27.89,3674,0.33,Mg
21,2021,A01,Melamor,2,2008,A012008,27.89,3674,14.49,B
22,2022,A01,Melamor,2,2008,A012008,27.89,3674,17.1,B
23,2023,A01,Melamor,2,2008,A012008,27.89,3674,14.46,B
24,2024,A01,Melamor,2,2008,A012008,27.89,3674,12.15,B
25,2021,A01,Melamor,2,2008,A012008,27.89,3674,16.59,Cu
26,2022,A01,Melamor,2,2008,A012008,27.89,3674,0.0,Cu
27,2023,A01,Melamor,2,2008,A012008,27.89,3674,0.0,Cu
28,2024,A01,Melamor,2,2008,A012008,27.89,3674,4.98,Cu
29,2021,A01,Melamor,2,2008,A012008,27.89,3674,0.0,Zn
30,2022,A01,Melamor,2,2008,A012008,27.89,3674,0.0,Zn
31,2023,A01,Melamor,2,2008,A012008,27.89,3674,0.0,Zn
32,2024,A01,Melamor,2,2008,A012008,27.89,3674,15.88,Zn
33,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,N
34,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,N
35,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,N
36,2024,A01,Melamor,2,2020,A012020,4.22,602,2.69,N
37,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,P
38,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,P
39,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,P
40,2024,A01,Melamor,2,2020,A012020,4.22,602,0.18,P
41,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,K
42,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,K
43,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,K
44,2024,A01,Melamor,2,2020,A012020,4.22,602,0.65,K
45,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,Ca
46,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,Ca
47,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,Ca
48,2024,A01,Melamor,2,2020,A012020,4.22,602,1.07,Ca
49,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,Mg
50,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,Mg
51,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,Mg
52,2024,A01,Melamor,2,2020,A012020,4.22,602,0.5,Mg
53,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,B
54,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,B
55,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,B
56,2024,A01,Melamor,2,2020,A012020,4.22,602,26.92,B
57,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,Cu
58,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,Cu
59,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,Cu
60,2024,A01,Melamor,2,2020,A012020,4.22,602,6.55,Cu
61,2021,A01,Melamor,2,2020,A012020,4.22,602,0.0,Zn
62,2022,A01,Melamor,2,2020,A012020,4.22,602,0.0,Zn
63,2023,A01,Melamor,2,2020,A012020,4.22,602,0.0,Zn
64,2024,A01,Melamor,2,2020,A012020,4.22,602,17.14,Zn
65,2021,A02,Melamor,2,2009,A022009,21.76,2906,2.5,N
66,2022,A02,Melamor,2,2009,A022009,21.76,2906,2.33,N
67,2023,A02,Melamor,2,2009,A022009,21.76,2906,2.33,N
68,2024,A02,Melamor,2,2009,A022009,21.76,2906,2.22,N
69,2021,A02,Melamor,2,2009,A022009,21.76,2906,0.17,P
70,2022,A02,Melamor,2,2009,A022009,21.76,2906,0.15,P
71,2023,A02,Melamor,2,2009,A022009,21.76,2906,0.15,P
72,2024,A02,Melamor,2,2009,A022009,21.76,2906,0.15,P
73,2021,A02,Melamor,2,2009,A022009,21.76,2906,1.01,K
74,2022,A02,Melamor,2,2009,A022009,21.76,2906,0.92,K
75,2023,A02,Melamor,2,2009,A022009,21.76,2906,0.89,K
76,2024,A02,Melamor,2,2009,A022009,21.76,2906,0.81,K
77,2021,A02,Melamor,2,2009,A022009,21.76,2906,0.42,Ca
78,2022,A02,Melamor,2,2009,A022009,21.76,2906,0.48,Ca
79,2023,A02,Melamor,2,2009,A022009,21.76,2906,0.51,Ca
80,2024,A02,Melamor,2,2009,A022009,21.76,2906,0.76,Ca
81,2021,A02,Melamor,2,2009,A022009,21.76,2906,0.31,Mg
82,2022,A02,Melamor,2,2009,A022009,21.76,2906,0.32,Mg
83,2023,A02,Melamor,2,2009,A022009,21.76,2906,0.32,Mg
84,2024,A02,Melamor,2,2009,A022009,21.76,2906,0.36,Mg
85,2021,A02,Melamor,2,2009,A022009,21.76,2906,13.92,B
86,2022,A02,Melamor,2,2009,A022009,21.76,2906,13.82,B
87,2023,A02,Melamor,2,2009,A022009,21.76,2906,17.2,B
88,2024,A02,Melamor,2,2009,A022009,21.76,2906,15.93,B
89,2021,A02,Melamor,2,2009,A022009,21.76,2906,6.85,Cu
90,2022,A02,Melamor,2,2009,A022009,21.76,2906,0.0,Cu
91,2023,A02,Melamor,2,2009,A022009,21.76,2906,0.0,Cu
92,2024,A02,Melamor,2,2009,A022009,21.76,2906,6.89,Cu
93,2021,A02,Melamor,2,2009,A022009,21.76,2906,0.0,Zn
94,2022,A02,Melamor,2,2009,A022009,21.76,2906,0.0,Zn
95,2023,A02,Melamor,2,2009,A022009,21.76,2906,0.0,Zn
96,2024,A02,Melamor,2,2009,A022009,21.76,2906,17.51,Zn
97,2021,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,2.67,N
98,2022,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,2.19,N
99,2023,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,2.15,N
100,2024,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,2.21,N
101,2021,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.17,P
102,2022,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.15,P
103,2023,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.15,P
104,2024,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.16,P
105,2021,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.94,K
106,2022,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.83,K
107,2023,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.99,K
108,2024,A04,Melamor,2,2009,A042009,9149999999999990.0,1234,0.65,K
