1,2019-01-01,Tahun Baru 2019 Masehi
2,2019-02-05,Tahun Baru Imlek 2570 Kongzili
3,2019-03-07,Hari Raya Nyepi Tahun Baru Saka 1941
4,2019-04-03,Isra Mikraj Nabi Muhammad SAW
5,2019-04-19,Wafat Isa Al Masih
6,2019-05-01,Hari Buruh Internasional
7,2019-05-19,Hari Raya Waisak 2563
8,2019-05-30,Kenaikan Isa Al Masih
9,2019-06-01,Hari Lahir Pancasila
10,2019-06-05,Hari Raya Idul Fitri 1440 Hijriyah
11,2019-06-06,Hari Raya Idul Fitri 1440 Hijriyah
12,2019-08-11,Hari Raya Idul Adha 1440 Hijriyah
13,2019-08-17,Hari Kemerdekaan Republik Indonesia
14,2019-09-01,Tahun Baru Islam 1441 Hijriyah
15,2019-11-09,Maulid Nabi Muhammad SAW
16,2019-12-25,Hari Raya Natal
17,2020-01-01,Tahun Baru 2020 Masehi
18,2020-01-25,Tahun Baru Imlek 2571 Kongzili 
19,2020-03-22,Isra Mikraj Nabi Muhammad SAW 
20,2020-03-25,Hari Suci Nyepi Tahun Baru Saka 1942 
21,2020-04-10,Wafat Isa Al Masih 
22,2020-05-01,Hari Buruh Internasional 
23,2020-05-07,Hari Raya Waisak 2564 
24,2020-05-21,Kenaikan Isa Al Masih 
25,2020-05-24,Hari Raya Idul Fitri 1441 H 
26,2020-05-25,Hari Raya Idul Fitri 1441 H 
27,2020-06-01,Hari Lahir Pancasila 
28,2020-07-31,Hari Raya Idul Adha 1441 H 
29,2020-08-17,Hari Kemerdekaan RI 
30,2020-08-20,Tahun Baru Islam 1442 H 
31,2020-10-29,Maulid Nabi Muhammad SAW 
32,2020-12-25,Hari Raya Natal
33,2021-01-01,Tahun Baru 2021 Masehi
34,2021-02-12,Tahun Baru Imlek 2572 Kongzili
35,2021-03-11,Isra Mikraj Nabi Muhammad saw.
36,2021-03-14,Hari Suci Nyepi Tahun Baru Saka 1943
37,2021-04-02,Wafat Isa Al Masih
38,2021-05-01,Hari Buruh Internasional
39,2021-05-13,Kenaikan Isa Al Masih & Hari Raya Idulfitri 1442 Hijriah
40,2021-05-14,Hari Raya Idulfitri 1442 Hijriah
41,2021-05-26,Hari Raya Waisak 2565
42,2021-06-01,Hari Lahir Pancasila
43,2021-07-20,Hari Raya Iduladha 1442 Hijriah
44,2021-08-11,Tahun Baru Islam 1443 Hijriah
45,2021-08-17,Hari Kemerdekaan Republik Indonesia
46,2021-10-20,Maulid Nabi Muhammad saw.
47,2021-12-25,Hari Raya Natal
48,2022-01-01,Tahun Baru 2022 Masehi
49,2022-02-01,Tahun Baru Imlek 2573 Kongzili
50,2022-02-28,Isra Mikraj Nabi Muhammad SAW
51,2022-03-03,Hari Suci Nyepi Tahun Baru Saka 1944
52,2022-04-15,Wafat Isa Almasih
